dataset_name,window_start_sample,window_end_sample,true_label,predicted_label,prediction_score
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_95,95,96,0,0,0.42966821789741516
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_96,96,97,0,0,0.40995848178863525
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_97,97,98,0,0,0.2777988910675049
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_98,98,99,0,0,0.32844337821006775
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_99,99,100,0,0,0.38114991784095764
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_100,100,101,1,0,0.45601239800453186
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_101,101,102,1,0,0.34381693601608276
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_102,102,103,1,0,0.3407973051071167
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_103,103,104,1,0,0.38456639647483826
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_104,104,105,0,0,0.4167288839817047
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_105,105,106,0,0,0.3981626629829407
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_106,106,107,0,0,0.38143178820610046
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_107,107,108,0,0,0.42557811737060547
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_108,108,109,0,0,0.36863693594932556
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_109,109,110,0,0,0.33996960520744324
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_110,110,111,0,0,0.36796918511390686
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_111,111,112,0,0,0.40999117493629456
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_112,112,113,0,0,0.4302065372467041
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_113,113,114,0,0,0.44527286291122437
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_114,114,115,0,0,0.35612180829048157
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_115,115,116,0,0,0.37146490812301636
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_116,116,117,0,0,0.3372827470302582
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_117,117,118,1,0,0.36144229769706726
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_118,118,119,1,0,0.4493941068649292
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_119,119,120,1,0,0.35666370391845703
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_120,120,121,1,0,0.46756356954574585
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_121,121,122,1,0,0.4399954378604889
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_122,122,123,1,0,0.44339364767074585
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_123,123,124,1,0,0.3591088056564331
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_124,124,125,1,0,0.42054513096809387
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_125,125,126,1,0,0.3639664053916931
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_126,126,127,0,0,0.4222174286842346
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_127,127,128,0,0,0.38973215222358704
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_128,128,129,0,0,0.41003456711769104
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_129,129,130,0,0,0.3557847738265991
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_130,130,131,0,0,0.4234665036201477
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_131,131,132,0,0,0.36223307251930237
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_132,132,133,0,0,0.3945232033729553
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_133,133,134,0,0,0.4031495749950409
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_134,134,135,0,0,0.3802247941493988
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_135,135,136,0,0,0.45440611243247986
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_136,136,137,0,0,0.3790592551231384
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_137,137,138,0,0,0.4380183219909668
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_138,138,139,0,0,0.38137805461883545
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_139,139,140,0,0,0.3871247470378876
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_140,140,141,0,0,0.37819093465805054
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_141,141,142,0,0,0.41406121850013733
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_142,142,143,0,0,0.39270591735839844
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_143,143,144,0,0,0.33363842964172363
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_144,144,145,0,0,0.3752244710922241
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_145,145,146,0,0,0.4130958914756775
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_146,146,147,0,0,0.3352431356906891
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_147,147,148,0,0,0.4814814329147339
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_148,148,149,0,0,0.42638400197029114
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_149,149,150,1,0,0.42985379695892334
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_150,150,151,1,0,0.3941551744937897
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_151,151,152,1,0,0.3990940451622009
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_152,152,153,1,0,0.3792632520198822
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_153,153,154,1,0,0.4208999276161194
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_154,154,155,1,0,0.3972472548484802
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_155,155,156,1,0,0.40167200565338135
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_156,156,157,1,0,0.45674994587898254
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_157,157,158,1,0,0.5
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_158,158,159,1,0,0.4002368748188019
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_159,159,160,1,0,0.36695072054862976
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_160,160,161,1,0,0.41065654158592224
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_161,161,162,0,0,0.3255109190940857
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_162,162,163,0,0,0.3192114233970642
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_163,163,164,0,0,0.30736738443374634
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_164,164,165,0,0,0.33881521224975586
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_165,165,166,0,0,0.40007033944129944
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_166,166,167,0,0,0.43285927176475525
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_167,167,168,0,0,0.4232070744037628
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_168,168,169,0,0,0.45753830671310425
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_169,169,170,0,0,0.3912214934825897
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_170,170,171,0,0,0.3940892815589905
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_171,171,172,0,0,0.40978336334228516
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_172,172,173,0,0,0.36504507064819336
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_173,173,174,0,0,0.3814805746078491
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_174,174,175,0,0,0.387273371219635
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_175,175,176,0,0,0.3080231845378876
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_176,176,177,0,0,0.42659157514572144
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_177,177,178,0,0,0.3678411543369293
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_178,178,179,0,0,0.46573570370674133
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_179,179,180,0,0,0.40154916048049927
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_180,180,181,0,0,0.4420771300792694
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_181,181,182,0,0,0.39027830958366394
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_182,182,183,0,0,0.403859943151474
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_183,183,184,0,0,0.4364353120326996
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_184,184,185,0,0,0.3098726272583008
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_185,185,186,0,0,0.44812628626823425
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_186,186,187,0,0,0.39650627970695496
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_187,187,188,0,0,0.44743362069129944
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_188,188,189,0,0,0.4052979052066803
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_189,189,190,0,0,0.40837401151657104
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_190,190,191,0,0,0.35314109921455383
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_191,191,192,0,0,0.3844781816005707
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_192,192,193,0,0,0.3843313455581665
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_193,193,194,0,0,0.35579851269721985
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_194,194,195,0,0,0.23006661236286163
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_195,195,196,0,0,0.398779034614563
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_196,196,197,0,0,0.38899534940719604
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_197,197,198,1,0,0.4176079332828522
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_198,198,199,1,0,0.4422757625579834
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_199,199,200,1,0,0.3542448580265045
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_200,200,201,1,0,0.4348433017730713
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_201,201,202,1,0,0.39084896445274353
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_202,202,203,1,0,0.3414379358291626
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_203,203,204,1,0,0.4641210436820984
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_204,204,205,1,0,0.38706257939338684
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_205,205,206,1,0,0.46762147545814514
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_206,206,207,0,0,0.4472493827342987
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_207,207,208,0,0,0.42048266530036926
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_208,208,209,0,0,0.41673246026039124
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_209,209,210,0,0,0.35641130805015564
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_210,210,211,0,0,0.1934894621372223
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_211,211,212,0,0,0.4308036267757416
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_212,212,213,0,0,0.40041956305503845
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_213,213,214,0,0,0.37478795647621155
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_214,214,215,0,0,0.41785845160484314
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_215,215,216,0,0,0.3962225317955017
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_216,216,217,0,0,0.385104238986969
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_217,217,218,0,0,0.3231120705604553
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_218,218,219,0,0,0.39788562059402466
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_219,219,220,0,0,0.4599541127681732
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_220,220,221,0,0,0.3408880829811096
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_221,221,222,0,0,0.3802553117275238
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_222,222,223,0,0,0.49739906191825867
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_223,223,224,0,0,0.3971707820892334
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_224,224,225,0,0,0.35567349195480347
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_225,225,226,0,0,0.4250507056713104
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_226,226,227,0,0,0.3681827783584595
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_227,227,228,0,0,0.4254862368106842
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_228,228,229,0,0,0.4295874536037445
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_229,229,230,0,0,0.37201133370399475
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_230,230,231,0,0,0.3441057503223419
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_231,231,232,1,0,0.3664368987083435
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_232,232,233,1,0,0.3650828003883362
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_233,233,234,1,0,0.3419490456581116
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_234,234,235,1,0,0.4365382790565491
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_235,235,236,1,0,0.41004934906959534
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_236,236,237,1,0,0.3869314193725586
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_237,237,238,1,0,0.5
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_238,238,239,1,0,0.4270075261592865
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_239,239,240,1,1,0.5142114162445068
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_240,240,241,0,0,0.44676825404167175
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_241,241,242,0,0,0.4237726628780365
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_242,242,243,0,0,0.4079803228378296
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_243,243,244,0,0,0.3785875141620636
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_244,244,245,0,0,0.42373552918434143
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_245,245,246,0,0,0.24477368593215942
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_246,246,247,0,0,0.25445282459259033
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_247,247,248,0,0,0.3616887032985687
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_248,248,249,0,0,0.3570622205734253
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_249,249,250,0,0,0.4054078757762909
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_250,250,251,0,0,0.42899200320243835
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_251,251,252,0,0,0.4202064573764801
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_252,252,253,0,0,0.38278090953826904
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_253,253,254,0,0,0.331243634223938
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_254,254,255,0,0,0.36994388699531555
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_255,255,256,0,0,0.4140421748161316
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_256,256,257,0,0,0.4186619520187378
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_257,257,258,0,0,0.21549420058727264
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_258,258,259,0,0,0.5
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_259,259,260,0,0,0.39073464274406433
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_260,260,261,0,0,0.45586103200912476
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_261,261,262,0,0,0.4286770522594452
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_262,262,263,0,0,0.3805560767650604
